name,uid,description,author,pages,price,"isbn	"
English Conversation for you - 8,ARW000093,"Arrow Publications Pvt. Ltd. proudly presents English Conversation For You, a series of English conversation books for children, to cater to the ever-growing need and demand for quality material that helps learners acquire profi ciency in Spoken English. Th e series is a unique one, perhaps the only one of its kind, designed to fulfi l the real-life communication needs of young Indian learners. Th e series has been carefully planned and developed to help learners master the art of speaking English with fl uency and accuracy. Th e lessons are graded and systematically presented in order to facilitate the learning of the spoken skills with ease and comfort.",Padmini Sameeran,64,219.90,978-93-85785-87-0
Strings - Cursive Writing - A,ARW000094,Cursive Writing Books,A Team of Experienced Teachers,32,138.90,978-93-87327-45-0
Strings - Cursive Writing - B,ARW000095,Cursive Writing Books,A Team of Experienced Teachers,32,138.90,978-93-87327-46-7
Strings - Cursive Writing - 1,ARW000096,Cursive Writing Books,A Team of Experienced Teachers,40,138.90,978-93-87327-47-4
Strings - Cursive Writing - 2,ARW000097,Cursive Writing Books,A Team of Experienced Teachers,40,138.90,978-93-87327-48-1
Strings - Cursive Writing - 3,ARW000098,Cursive Writing Books,A Team of Experienced Teachers,40,138.90,978-93-87327-49-8
Strings - Cursive Writing - 4,ARW000099,Cursive Writing Books,A Team of Experienced Teachers,40,138.90,978-93-87327-50-4
Strings - Cursive Writing - 5,ARW000100,Cursive Writing Books,A Team of Experienced Teachers,40,138.90,978-93-87327-51-1
Strings - Cursive Writing - 6,ARW000101,Cursive Writing Books,A Team of Experienced Teachers,40,138.90,978-93-87327-52-8
Strings - Cursive Writing - 7,ARW000102,Cursive Writing Books,A Team of Experienced Teachers,40,138.90,978-93-87327-53-5
Strings - Cursive Writing - 8,ARW000103,Cursive Writing Books,A Team of Experienced Teachers,40,138.90,978-93-87327-54-2
Cursive Writing - A,ARW000104,Cursive Writing Books,A Team of Experienced Teachers,32,85.90,0
Cursive Writing - B,ARW000105,Cursive Writing Books,A Team of Experienced Teachers,32,85.90,0
Cursive Writing - 1,ARW000106,Cursive Writing Books,A Team of Experienced Teachers,32,85.90,0
Cursive Writing - 2,ARW000107,Cursive Writing Books,A Team of Experienced Teachers,32,85.90,0
Cursive Writing - 3,ARW000108,Cursive Writing Books,A Team of Experienced Teachers,32,85.90,0
Cursive Writing - 4,ARW000109,Cursive Writing Books,A Team of Experienced Teachers,32,85.90,0
Cursive Writing - 5,ARW000110,Cursive Writing Books,A Team of Experienced Teachers,32,85.90,0
Cursive Writing - 6,ARW000111,Cursive Writing Books,A Team of Experienced Teachers,32,85.90,0
Cursive Writing - 7,ARW000112,Cursive Writing Books,A Team of Experienced Teachers,32,85.90,0
Cursive Writing - 8,ARW000113,Cursive Writing Books,A Team of Experienced Teachers,32,85.90,0
Cube Plus Mathematics-1*,ARW000114,"Arrow Publications Pvt. Ltd. has brought out a series of Mathematics textbooks (Introductory, 1-8) titled Cube Plus+ Mathematics, developed according to the recommendations of NEP 2020, NCF-FS 2022 and NCF-SE 2023.",Alka Ratti Bakshi,192,479.90,978-93-87359-18-5
